factsheet,topic,attribute,subattribute,#,value
,,scenario,name,9,StrPol-500
,,scenario,description,9,Delayed scenario with stringent reference policies until 2020 and optimal policies towards 500 thereafter.
,,scenario,name,10,RefPol2030-500
,,scenario,description,10,Delayed scenario with stringent reference policies until 2030 and optimal policies towards 500 thereafter.
,data sources,source,name,1,AR5 database
,,source,link,1,https://tntcat.iiasa.ac.at/AR5DB
,publications,reference,citation,1,Kriegler et al. (2013)
,,reference,type,1,journal article
,,reference,doi,1,10.1142/S2010007813400083
,,reference,full,1,"Kriegler, E. et al. What does the 2°C target imply for a global climate agreement in 2020? the Limits study on Durban platform scenarios. Clim. Change Econ. 04, 1340008 (2013)."
,,reference,ris,1,"TY - JOUR
 TI - What does the 2°C target imply for a global climate agreement in 2020? The LIMITS study on Durban Platform scenarios
 AU - Kriegler, Elmar
 AU - Tavoni, Massimo
 AU - Aboumahboub, Tino
 AU - Luderer, Gunnar
 AU - Calvin, Katherine
 AU - De Maere, G.
 AU - Krey, Volker
 AU - Riahi, Keywan
 AU - Rösler, Hilke
 AU - Schaeffer, Michiel
 AU - Van Vuuren, Detlef
 T2 - Climate Change Economics
 DA - 2013///
 PY - 2013
 DO - 10.1142/S2010007813400083
 VL - 04
 IS - 4
 SP - 1
 EP - 30
 J2 - Clim. Change Econ.
 UR - http://www.worldscientific.com/doi/abs/10.1142/S2010007813400083?src=recsys
 N1 - <p>http://www.feem-project.net/limits/03_outreach_01_02.html</p>
 ER -"
,,reference,citation,2,Tavoni et al. (2013)
,,reference,type,2,journal article
,,reference,doi,2,10.1142/S2010007813400095
,,reference,full,2,"Tavoni M, Kriegler E, Aboumahboub T, et al. The distribution of the major economies’ effort in the Durban platform scenarios. Clim Change Econ 04, 1340009 (2013)."
,,reference,ris,2,"TY - JOUR
 TI - The distribution of the major economies' effort in the Durban platform scenarios
 AU - Tavoni, Massimo
 AU - Kriegler, Elmar
 AU - Aboumahboub, Tino
 AU - Calvin, Kate V.
 AU - De Maere, G.
 AU - Wise, Marshall
 AU - Klein, David
 AU - Jewell, Jessica
 AU - Kober, Tom
 AU - Lucas, Paul L.
 AU - Luderer, Gunnar
 AU - McCollum, David
 AU - Marangoni, Giacomo
 AU - Riahi, Keywan
 AU - Van Vuuren, Detlef
 T2 - Climate Change Economics
 AB - The feasibility of achieving climate stabilization consistent with the objective of 2°C is heavily influenced by how the effort in terms of mitigation and economic resources will be distributed among the major economies. This paper provides a multi-model quantification of the mitigation commitment in 10 major regions of the world for a diversity of allocation schemes. Our results indicate that a policy with uniform carbon pricing and no transfer payments would yield an uneven distribution of policy costs, which would be lower than the global average for OECD countries, higher for developing economies and the highest, for energy exporters. We show that a resource sharing scheme based on long-term convergence of per capita emissions would not resolve the issue of cost distribution. An effort sharing scheme which equalizes regional policy costs would yield an allocation of allowances comparable with the ones proposed by the Major Economies. Under such a scheme, emissions would peak between 2030 and 2045 for China and remain rather flat for India. In all cases, a very large international carbon market would be required.
 DA - 2013/11/01/
 PY - 2013
 DO - 10.1142/S2010007813400095
 DP - worldscientific.com (Atypon)
 VL - 04
 IS - 04
 SP - 1340009
 J2 - Clim. Change Econ.
 SN - 2010-0078
 UR - http://www.worldscientific.com/doi/abs/10.1142/S2010007813400095
 Y2 - 2014/09/12/11:17:37
 L1 - http://www.worldscientific.com/doi/pdf/10.1142/S2010007813400095
 L2 - http://www.worldscientific.com/doi/abs/10.1142/S2010007813400095
 ER -"
,,reference,citation,3,Tavoni et al. (2014)
,,reference,type,3,journal article
,,reference,doi,3,10.1038/nclimate2475
,,reference,full,3,"Tavoni, M. et al. Post-2020 climate agreements in the major economies assessed in the light of global models. Nature Clim. Change advance online publication, (2014)."
,,reference,ris,3,"TY - JOUR
 TI - Post-2020 climate agreements in the major economies assessed in the light of global models
 AU - Tavoni, Massimo
 AU - Kriegler, Elmar
 AU - Riahi, Keywan
 AU - van Vuuren, Detlef P.
 AU - Aboumahboub, Tino
 AU - Bowen, Alex
 AU - Calvin, Katherine
 AU - Campiglio, Emanuele
 AU - Kober, Tom
 AU - Jewell, Jessica
 AU - Luderer, Gunnar
 AU - Marangoni, Giacomo
 AU - McCollum, David
 AU - van Sluisveld, Mariësse
 AU - Zimmer, Anne
 AU - van der Zwaan, Bob
 T2 - Nature Climate Change
 AB - Integrated assessment models can help in quantifying the implications of international climate agreements and regional climate action. This paper reviews scenario results from model intercomparison projects to explore different possible outcomes of post-2020 climate negotiations, recently announced pledges and their relation to the 2 °C target. We provide key information for all the major economies, such as the year of emission peaking, regional carbon budgets and emissions allowances. We highlight the distributional consequences of climate policies, and discuss the role of carbon markets for financing clean energy investments, and achieving efficiency and equity.
 DA - 2014/12/15/
 PY - 2014
 DO - 10.1038/nclimate2475
 DP - www.nature.com
 VL - advance online publication
 J2 - Nature Clim. Change
 LA - en
 SN - 1758-678X
 UR - http://www.nature.com/nclimate/journal/vaop/ncurrent/full/nclimate2475.html
 Y2 - 2014/12/16/09:57:16
 L1 - http://www.nature.com/nclimate/journal/vaop/ncurrent/pdf/nclimate2475.pdf
 L2 - http://www.nature.com/nclimate/journal/vaop/ncurrent/full/nclimate2475.html
 ER -"
,,reference,citation,4,Policy brief on policy analysis
,,reference,type,4,policy brief
,,reference,doi,4,
,,reference,link,4,http://www.feem-project.net/limits/docs/limits_policy%20brief%20on%20policy%20analysis_en.pdf
,,reference,full,4,
,,reference,ris,4,
,,reference,citation,5,"Policy brief on ""Limiting Global Warming to 2°C - Policy findings from Durban Platform scenario analyses"""
,,reference,type,5,policy brief
,,reference,doi,5,
,,reference,link,5,http://www.feem-project.net/limits/docs/limits_pb.pdf
,,reference,full,5,"Tavoni M, Riahi K, Jewell J, Rao S, & McCollum D (2014). Limiting global warming to 2 degrees C. Policy findings from Durban Platform scenario analysis.  LIMITS Publications , FEEM, Milan, Italy."
,,reference,ris,5,
,diagnostics,source,name,1,N/A
,,source,link,1,N/A
,models,preamble,,,Seven global models participated in the LIMITS study.
,,model,name,1,AIM-Enduse
,,model,version,1,[Backcast] 1.0
,,model,name,2,IMAGE
,,model,version,2,2.4
,,model,name,3,GCAM
,,model,version,3,3.1
,,model,name,4,MESSAGE
,,model,version,4,V.4
,,model,name,5,TIAM-ECN
,,model,version,5,LIMITS
,,model,name,6,REMIND
,,model,version,6,1.5
,,model,name,7,WITCH
,,model,version,7,LIMITS
,year,,,,2013
,keywords,keyword,,1,Distributional impacts of mitigation
,,keyword,,2,Regional mitigation costs
,,keyword,,3,Durban platform scenarios
,regional coverage,region,,1,World
,,region,,2,OECD90
,,region,,3,Reforming Economies (REF)
,,region,,4,Asia (ASIA)
,,region,,5,Middle East and Africa (MAF)
,,region,,6,Latin America (LAM)
,,region,,7,Brazil
,,region,,8,China
,,region,,9,India
,,region,,10,EU (EU27)
,,region,,11,EU15
,,region,,12,EU12
,,region,,13,Japan
,,region,,14,Russia
,,region,,15,USA
,time horizon,start,,,2005
,,end,,,2100
