factsheet,topic,attribute,subattribute,#,value
,,scenario,description,6,"Scenario with nuclear phase-out, and carbon tax starting at 100$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
,,scenario,name,7,LowEI_30$
,,scenario,description,7,"Scenario with reduced energy demand, and carbon tax starting at 30$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
,,scenario,name,8,LowEI_100$
,,scenario,description,8,"Scenario with reduced energy demand, and carbon tax starting at 100$ (2005US$) in 2020 with 5% p.a. exponential growth (""Frag2015"")"
,data sources,source,name,1,SR1.5 database
,,source,link,1,https://data.ene.iiasa.ac.at/iamc-1.5c-explorer/
,publications,reference,citation,1,Luderer et al. (2013)
,,reference,type,1,journal article
,,reference,doi,1,10.1088/1748-9326/8/3/034033
,,reference,full,1,"Luderer, G. et al. Economic mitigation challenges: how further delay closes the door for achieving climate targets. Environ. Res. Lett. 8, 034033 (2013)."
,,reference,ris,1,"TY  - JOUR
TI  - Economic mitigation challenges: how further delay closes the door for achieving climate targets
AU  - Luderer, Gunnar
AU  - Pietzcker, Robert C.
AU  - Bertram, Christoph
AU  - Kriegler, Elmar
AU  - Meinshausen, Malte
AU  - Edenhofer, Ottmar
T2  - Environmental Research Letters
AB  - While the international community aims to limit global warming to below 2 ° C to prevent dangerous climate change, little progress has been made towards a global climate agreement to implement the emissions reductions required to reach this target. We use an integrated energy–economy–climate modeling system to examine how a further delay of cooperative action and technology availability affect climate mitigation challenges. With comprehensive emissions reductions starting after 2015 and full technology availability we estimate that maximum 21st century warming may still be limited below 2 ° C with a likely probability and at moderate economic impacts. Achievable temperature targets rise by up to ∼0.4 ° C if the implementation of comprehensive climate policies is delayed by another 15 years, chiefly because of transitional economic impacts. If carbon capture and storage (CCS) is unavailable, the lower limit of achievable targets rises by up to ∼0.3 ° C. Our results show that progress in international climate negotiations within this decade is imperative to keep the 2 ° C target within reach.
DA  - 2013/09/01/
PY  - 2013
DO  - 10.1088/1748-9326/8/3/034033
DP  - Institute of Physics
VL  - 8
IS  - 3
SP  - 034033
J2  - Environ. Res. Lett.
LA  - en
SN  - 1748-9326
ST  - Economic mitigation challenges
UR  - http://iopscience.iop.org/1748-9326/8/3/034033
Y2  - 2013/11/04/15:55:42
L2  - http://iopscience.iop.org/1748-9326/8/3/034033/article
ER  - 


"
,,reference,citation,2,Luderer et al. (2013)
,,reference,type,2,policy brief
,,reference,doi,2,N/A
,,reference,full,2,(Policy Brief) Economic Mitigation Challenges: How Further Delay Closes the Door for Climate Targets
,,reference,ris,2,"TY  - RPRT
TI  - Economic Mitigation Challenges: How Further Delay Closes the Door for Climate Targets - Policy Brief
AU  - Luderer, Gunnar
AU  - Petermann, Nils
AU  - Pietzcker, Robert
AU  - Bertram, Christoph
AU  - Kriegler, Elmar
AU  - Meinshausen, Malte
AU  - Edenhofer, Ottmar
DA  - 2013///
PY  - 2013
UR  - https://www.pik-potsdam.de/members/luderer/ClimateTargets_EconomicMitigationChallenges_PolicyBrief20130910_clean.pdf"
,models,preamble,,,
,,model,name,1,REMIND
,,model,version,1,1.5
,year,,,,2013
,keywords,keyword,,1,Economic mitigation challenges
,,keyword,,2,Short term costs
,,keyword,,3,Long term costs
,,keyword,,4,Energy price (increase)
,,,,5,Total carbon value
,,,,6,fragmented action
,,,,7,globally harmonized GHG pricing
,,,,8,technology availability 
,regional coverage,region,,1,World
,,region,,2,China
,,region,,3,India
,,region,,4,USA
,,region,,5,Japan
,,region,,6,Russia
,,region,,7,EU-28
,,region,,8,"Middle East, North Africa and Caspian (MEA)"
,,region,,9,Sub-saharan Africa without ZAF (AFR)
,,region,,10,Latin America and Carribean (LAM)
,,region,,11,Other Asia (OAS)
,,region,,12,Rest of World (ROW)
,time horizon,start,,,2005
,,end,,,2100
