factsheet,topic,attribute,subattribute,#,value
,,reference,ris,2,"TY - JOUR
 TI - Getting from here to there – energy technology transformation pathways in the EMF27 scenarios
 AU - Krey, Volker
 AU - Luderer, Gunnar
 AU - Clarke, Leon
 AU - Kriegler, Elmar
 T2 - Climatic Change
 AB - Based on a large number of energy-economic and integrated assessment models, the Energy Modeling Forum (EMF) 27 study systematically explores the implications of technology cost and availability for feasibility and macroeconomic costs of energy system transformations toward climate stabilization. At the highest level, the technology strategy articulated in all the scenarios in EMF27 includes three elements: decarbonization of energy supply, increasing the use of low-carbon energy carriers in end-use, and reduction of energy use. The way that the scenarios differ is in the degree to which these different elements of strategy are implemented, the timing of those implementations, and the associated macroeconomic costs. The study also discusses the value of individual technologies for achieving climate stabilization. A robust finding is that the unavailability of carbon capture and storage and limited availability of bioenergy have the largest impact on feasibility and macroeconomic costs for stabilizing atmospheric concentrations at low levels, mostly because of their combined ability to remove carbon from the atmosphere. Constraining options in the electric sector such as nuclear power, wind and solar energy in contrast has a much smaller impact on the cost of mitigation.
 DA - 2014///
 PY - 2014
 DO - 10.1007/s10584-013-0947-5
 DP - link.springer.com
 VL - 123
 IS - 3-4
 SP - 369
 EP - 382
 J2 - Climatic Change
 LA - en
 SN - 0165-0009, 1573-1480
 UR - http://link.springer.com/article/10.1007/s10584-013-0947-5
 Y2 - 2013/12/11/11:22:27
 L1 - http://link.springer.com/content/pdf/10.1007%2Fs10584-013-0947-5.pdf
 L2 - http://link.springer.com/article/10.1007/s10584-013-0947-5
 KW - Atmospheric Sciences
 KW - Climate Change Impacts
 ER -"
,,reference,citation,3,Luderer et al. (2014)
,,reference,type,3,journal article
,,reference,doi,3,10.1007/s10584-013-0924-z
,,reference,full,3,"Luderer, G. et al. The role of renewable energy in climate stabilization: results from the EMF27 scenarios. Climatic Change 123, 427–441 (2014)."
,,reference,ris,3,"TY - JOUR
 TI - The role of renewable energy in climate stabilization: results from the EMF27 scenarios
 AU - Luderer, Gunnar
 AU - Krey, Volker
 AU - Calvin, Katherine
 AU - Merrick, James
 AU - Mima, Silvana
 AU - Pietzcker, Robert
 AU - Vliet, Jasper Van
 AU - Wada, Kenichi
 T2 - Climatic Change
 AB - This paper uses the EMF27 scenarios to explore the role of renewable energy (RE) in climate change mitigation. Currently RE supplies almost 20 % of global electricity demand. Almost all EMF27 mitigation scenarios show a strong increase in renewable power production, with a substantial ramp-up of wind and solar power deployment. In many scenarios, renewables are the most important long-term mitigation option for power supply. Wind energy is competitive even without climate policy, whereas the prospects of solar photovoltaics (PV) are highly contingent on the ambitiousness of climate policy. Bioenergy is an important and versatile energy carrier; however—with the exception of low temperature heat—there is less scope for renewables other than biomass for non-electric energy supply. Despite the important role of wind and solar power in climate change mitigation scenarios with full technology availability, limiting their deployment has a relatively small effect on mitigation costs, if nuclear and carbon capture and storage (CCS)—which can serve as substitutes in low-carbon power supply—are available. Limited bioenergy availability in combination with limited wind and solar power by contrast, results in a more substantial increase in mitigation costs. While a number of robust insights emerge, the results on renewable energy deployment levels vary considerably across the models. An in-depth analysis of a subset of EMF27 reveals substantial differences in modeling approaches and parameter assumptions. To a certain degree, differences in model results can be attributed to different assumptions about technology costs, resource potentials and systems integration.
 DA - 2014///
 PY - 2014
 DO - 10.1007/s10584-013-0924-z
 DP - link.springer.com
 SP - 1
 EP - 15
 J2 - Climatic Change
 LA - en
 SN - 0165-0009, 1573-1480
 ST - The role of renewable energy in climate stabilization
 UR - http://link.springer.com/article/10.1007/s10584-013-0924-z
 Y2 - 2013/11/14/10:48:25
 L1 - http://link.springer.com/content/pdf/10.1007%2Fs10584-013-0924-z.pdf
 L2 - http://link.springer.com/article/10.1007/s10584-013-0924-z
 KW - Atmospheric Sciences
 KW - Climate Change Impacts
 ER -"
,diagnostics,source,name,1,N/A
,,source,link,1,N/A
,models,preamble,,,The study uses 18 global IAMs.
,,model,name,1,REMIND
,,model,version,1,1.5
,,model,name,2,MESSAGE
,,model,version,2,V.4
,,model,name,3,AIM-Enduse
,,model,version,3,12.1
,,model,name,4,IMAGE
,,model,version,4,2.4 EMF22
,,model,name,5,GCAM
,,model,version,5,3.0
,,model,name,6,POLES
,,model,version,6,EMF27
,,model,name,7,WITCH
,,model,version,7,EMF27
,,model,name,8,FARM
,,model,version,8,3.0
,,model,name,9,MERGE
,,model,version,9,EMF27
,,model,name,10,Phoenix
,,model,version,10,2012.4
,,model,name,11,EC-IAM
,,model,version,11,2012
,,model,name,12,TIAM-World
,,model,version,12,2012.2
,,model,name,13,IMACLIM
,,model,version,13,v1.1
,,model,name,14,BET
,,model,version,14,1.5
,,model,name,15,DNE21+
,,model,version,15,V.11
,,model,name,16,GRAPE
,,model,version,16,ver2011
,,model,name,17,GCAM-IIM
,,model,version,17,EMF27
,,model,name,18,ENV-Linkages
,,model,version,18,WEO2012 calibration
,year,,,,2014
,keywords,keyword,,1,energy system transformations
,,keyword,,2,technology
,,keyword,,3,climate stabilization
,,keyword,,4,Optimal pathways
,regional coverage,region,,1,World
,,region,,2,Asia
,,region,,3,Latin America
,,region,,4,Middle East and Africa
,,region,,5,OECD90+EU
,,region,,6,Reforming Economies
,time horizon,start,,,2005
,,end,,,2100
