factsheet,topic,attribute,subattribute,#,value
,,reference,ris,1,"TY  - JOUR
TI  - Targeted policies can compensate most of the increased sustainability risks in 1.5 °C mitigation scenarios
AU  - Bertram, Christoph
AU  - Luderer, Gunnar
AU  - Popp, Alexander
AU  - Minx, Jan Christoph
AU  - Lamb, William F.
AU  - Miodrag Stevanović
AU  - Humpenöder, Florian
AU  - Giannousakis, Anastasis
AU  - Kriegler, Elmar
T2  - Environmental Research Letters
AB  - Meeting the 1.5 °C goal will require a rapid scale-up of zero-carbon energy supply, fuel switching to electricity, efficiency and demand-reduction in all sectors, and the replenishment of natural carbon sinks. These transformations will have immediate impacts on various of the sustainable development goals. As goals such as affordable and clean energy and zero hunger are more immediate to great parts of global population, these impacts are central for societal acceptability of climate policies. Yet, little is known about how the achievement of other social and environmental sustainability objectives can be directly managed through emission reduction policies. In addition, the integrated assessment literature has so far emphasized a single, global (cost-minimizing) carbon price as the optimal mechanism to achieve emissions reductions. In this paper we introduce a broader suite of policies—including direct sector-level regulation, early mitigation action, and lifestyle changes—into the integrated energy-economy-land-use modeling system REMIND-MAgPIE. We examine their impact on non-climate sustainability issues when mean warming is to be kept well below 2 °C or 1.5 °C. We find that a combination of these policies can alleviate air pollution, water extraction, uranium extraction, food and energy price hikes, and dependence on negative emissions technologies, thus resulting in substantially reduced sustainability risks associated with mitigating climate change. Importantly, we find that these targeted policies can more than compensate for most sustainability risks of increasing climate ambition from 2 °C to 1.5 °C.
DA  - 2018///
PY  - 2018
DO  - 10.1088/1748-9326/aac3ec
DP  - Institute of Physics
VL  - 13
IS  - 6
SP  - 064038
J2  - Environ. Res. Lett.
LA  - en
SN  - 1748-9326
UR  - http://stacks.iop.org/1748-9326/13/i=6/a=064038
Y2  - 2018/08/17/12:27:24
ER  - 


"
,models,preamble,,,
,,model,name,1,REMIND-MAgPIE
,,model,version,1,1.7-3.0
,year,,,,2018
,keywords,keyword,,1,Climate-SDG nexus
,,keyword,,2,Sustainable Development Goals (SDGs)
,,keyword,,3,Alternative policy approaches
,,keyword,,4,Sustainable Mitigation Pathways
,,keyword,,5,lifestyles
,,keyword,,6,risk minimization
,,keyword,,7,synergies
,,keyword,,8,food price
,,keyword,,9,energy price
,regional coverage,region,,1,World
,,region,,2,China
,,region,,3,India
,,region,,4,USA
,,region,,5,Japan
,,region,,6,Russia
,,region,,7,EU-28
,,region,,8,"Middle East, North Africa and Caspian (MEA)"
,,region,,9,Sub-saharan Africa without ZAF (AFR)
,,region,,10,Latin America and Carribean (LAM)
,,region,,11,Other Asia (OAS)
,,region,,12,Rest of World (ROW)
,time horizon,start,,,2005
,,end,,,2100
