factsheet,topic,attribute,subattribute,#,value
,,model,version,16,CLM5.0
,,model,name,17,DBH (water global)
,,model,version,17,N/A
,,model,name,18,DLEM (Dynamic Land Ecosystem Model) (biomes)
,,model,version,18,v2.0
,,model,name,19,ED2 (forestry)
,,model,version,19,v2.1
,,model,name,20,ForClim (forestry)
,,model,version,20,N/A
,,model,name,21,FORMIND (forestry)
,,model,version,21,FORMIND 3.1
,,model,name,22,GEPIC (agriculture)
,,model,version,22,Core model based on EPIC0810 with unpublished bug fixes and modifications
,,model,name,23,GO+ (forestry)
,,model,version,23,19.0 and 26.0
,,model,name,24,GOTILWA+ (forestry)
,,model,version,24,4
,,model,name,25,H08 (water global)
,,model,version,25,"H08 (Hanasaki et al., 2018)"
,,model,name,26,HYPE (water regional)
,,model,version,26,HYPE v 4.5.1
,,model,name,27,JULES-W1 (formerly JULES_TUC) (water global)
,,model,version,27,version 4.7
,,model,name,28,Landscape-DNDC (forestry)
,,model,version,28,N/A
,,model,name,29,LPJ-GUESS (biomes)
,,model,version,29,3.1
,,model,name,30,LPJ-GUESS (forestry)
,,model,version,30,3.1
,,model,name,31,LPJmL (agriculture)
,,model,version,31,N/A
,,model,name,32,LPJmL (biomes)
,,model,version,32,N/A
,,model,name,33,LPJmL (permafrost)
,,model,version,33,N/A
,,model,name,34,LPJmL (water global)
,,model,version,34,N/A
,,model,name,35,mHM (water regional)
,,model,version,35,v. 5.7
,,model,name,36,MPI-HM (water global)
,,model,version,36,v1.2
,,model,name,37,ORCHIDEE (biomes)
,,model,version,37,rev4080
,,model,name,38,ORCHIDEE (permafrost)
,,model,version,38,ORCHIDEE-MICT
,,model,name,39,ORCHIDEE (water global)
,,model,version,39,rev4080
,,model,name,40,PCR-GLOBWB (water global)
,,model,version,40,version 2
,,model,name,41,PEPIC (agriculture)
,,model,version,41,N/A
,,model,name,42,PREBAS (forestry)
,,model,version,42,1
,,model,name,43,SWAT (Blue Nile) (water regional)
,,model,version,43,N/A
,,model,name,44,SWIM (Niger) (water regional)
,,model,version,44,N/A
,,model,name,45,SWIM-NVE (water regional)
,,model,version,45,N/A
,,model,name,46,TRM-Tsukuba (temperature-related mortality health)
,,model,version,46,N/A
,,model,name,47,Tropical storm model (tropical storms)
,,model,version,47,N/A
,,model,name,48,VEGAS (biomes)
,,model,version,48,v2.3
,,model,name,49,VIC (water global)
,,model,version,49,N/A
,,model,name,50,VIC-NVE (water regional)
,,model,version,50,N/A
,,model,name,51,"VIC (Tagus Blue Nile, Yellow, Lena, Darling, Amazon, MacKenzie) (water regional) VISIT (biomes)"
,,model,version,51,VISITa
,,model,name,52,WaterGAP2 (water global)
,,model,version,52,WaterGAP 2.2c
ISIMIP2b,publications,reference,link,1,https://www.isimip.org/outcomes/publications
,publications,reference,citation,1,"Sven N. Willner, Anders Levermann, Fang Zhao, Katja Frieler, ""Adaptation required to preserve future high-end river flood risk at present levels"", Science Advances, Volume 4, Number 1 (2018)"
,publications,reference,citation,2,"Julien Boulange, Naota Hanasaki, Ted Veldkamp, Jacob Schewe, Hideo Shiogama, ""Magnitude and robustness associated with the climate change impacts on global hydrological variables for transient and stabilized climate states"", Environmental Research Letters, Volume 13, Number 6"
,publications,reference,citation,3,"Stefan Lange, ""Bias correction of surface downwelling longwave and shortwave radiation for the EWEMBI dataset"", Earth Syst. Dynam., 9, 627-645, 2018 https://doi.org/10.5194/esd-9-627-2018"
,publications,reference,citation,4,"Frieler, K. et al., ""Assessing the impacts of 1.5  °C global warming – simulation protocol of the Inter-Sectoral Impact Model Intercomparison Project (ISIMIP2b)"", Geosci. Model Dev., 10, 4321-4345, 2017, doi.org/10.5194/gmd-10-4321-2017"
,year,,,1,2016-2018
,regional coverage,region,,1,"mostly global, some sectors also have focus regions "
,time horizon,start,,1,1860
,,end,,1,2300
