factsheet,topic,attribute,subattribute,#,value
,models,preamble,,,"The largest GGI activity in terms of funding and man-power has been the development of an integrated assessments framework. This involved the development of new models and the interfaces between existing models. Building on the MESSAGE, AEZ/BLS and GAINS frameworks, GGI has sponsored the development of new models of forest growth (OSKAR), of interactions between agriculture and forestry (FASOM), and socio‐economic projections (SEDIM)."
,,model,name,1,GAINS - GHG and Air Pollution INteractions and Synergies
,,model,name,2,"MESSAGE - A Systems Engineering Optimization Model for Medium- to Long-Term Energy System Planning, Energy Policy Analysis and Scenario Development"
,,model,name,3,EU-FASOM - EUropean Forest and Agriculture Simulation and Optimization Model
,,model,name,4,SEDIM - Simple Economic Demographic Interaction Model
,,model,name,5,AEZ - The Agro-Ecological Zones (AEZ) approach is a GIS-based modeling framework that combines land evaluation methods with socioeconomic and multiple-criteria analysis to evaluate spatial and dynamic aspects of agriculture.
,,model,name,6,DIMA - An analytical framework to estimate the joint production of biomass and carbon sequestration from afforestation and reforestation activities
,,model,name,7,OSKAR - A forest production and management model
,year,,,,
,keywords,keyword,,1,Climate change mitigation scenarios
,,keyword,,2,Energy scenarios
,,keyword,,3,Integrated assessment
,,keyword,,4,Greenhouse gases
,regional coverage,region,,1,World
,,region,,2,OECD
,,region,,3,Reforming Economies (REF)
,,region,,4,Asia (ASIA)
,,region,,5,"Africa, latin Amerika and Middle East (ALM)"
,,region,,6,North America (NAM)
,,region,,7,Western Europe (WEU)
,,region,,8,Pacific OECD (PAO)
,,region,,9,Central and Eastern Europe (EEU)
,,region,,10,Newly independent states of the former Soviet Union (FSU)
,,region,,11,Centrally planned Asia and China (CPA)
,,region,,12,South Asia (SAS)
,,region,,13,Other Pacific Asia (PAS)
,,region,,14,Middle East and North Africa (MEA)
,,region,,15,Latin America and the Caribbean (LAM)
,,region,,16,Sub-Saharan Africa (AFR)
,,countries,,1,"185 countries, subset of indicators (population and GDPmer)"
,,grid,,1,0.5 x 0.5 degree rewsolution. Subset of indicators
,time horizon,start,,,2000
,,end,,,2100
