factsheet,topic,attribute,subattribute,#,value
,,scenario,description,9,Global radiative forcing is kept below 4.5 W/m2 (650 ppmv CO2e) throughout the century.
,,scenario,name,10,550 concentration
,,scenario,description,10,Global radiative forcing is kept below 3.7 W/m2 (550 ppmv CO2e) throughout the century.
,,scenario,name,11,450 concentration
,,scenario,description,11,Global radiative forcing is brought to 2.6 W/m2 (450 ppmv CO2e) by 2100 (concentration can overshoot before 2100).
,data sources,source,name,1,CLIMACAP-LAMP Scenario database
,,source,link,1,https://tntcat.iiasa.ac.at/CLIMACAP-LAMPDB/
,data sources,source,name,2,CLIMACAP web site.
,,source,link,2,http://climacap.websitebuilderpro.com/publications/4582850483
,publications,reference,citation,1,"van der Zwaan, B.C.C., K. Calvin, L. Clarke (Guest Editors), Climate Mitigation in Latin America: Implications for Energy and Land Use:, Energy Economics, 2016"
,,reference,type,1,journal special issue
,,reference,doi,1,https://doi.org/10.1016/j.eneco.2016.05.005
,,reference,full,1,"van der Zwaan, B.C.C., K. Calvin, L. Clarke (Guest Editors), “Climate Mitigation in Latin America: Implications for Energy and Land Use: Preface to the Special Section on the findings of the CLIMACAP-LAMP project”, Energy Economics, 2016"
,,reference,ris,1,"TY - JOUR
 AU - van der Zwaan, B. C. C.
 AU - Calvin, K. V.
 AU - Clarke, L. E.
 T1 - Climate Mitigation in Latin America: Implications for Energy and Land Use
 JO - Energy Economics
 Y1 - 2016/05
 VL - 56
 SP - 495
 EP - 498"
,diagnostics,source,name,1,N/A
,,source,link,1,N/A
,models,preamble,,,
,,model,name,1,Adage-biofuel
,,,name,2,EPPA
,,,name,3,GCAM_LAMP
,,,name,4,IMAGE
,,,name,5,iPETS_2reg
,,,name,6,LEAP-FB
,,,name,7,LEAP-UNAM
,,,name,8,MEG4C
,,,name,9,MESSAGE-Brazil
,,,name,10,POLES
,,,name,11,Phoenix_6LA
,,,name,12,TIAM-ECN
,,,name,13,TIAM-WORLD
,,model,version,,
,year,,,,
,keywords,keyword,,1,Climate change mitigation scenarios
,,keyword,,2,Energy scenarios
,,keyword,,3,International participation
,,keyword,,4,Inter-model comparison exercise
,,keyword,,4,Latin America
,regional coverage,region,,1,World
,,region,,2,Latin America (LAM)
,,country,,3,Argentina
,,country,,4,Brazil
,,country,,5,Colombia
,,country,,6,Mexico
,time horizon,start,,,2005 (2010)
,,end,,,2100 (2050)
