factsheet,topic,attribute,subattribute,#,value
CD-LINKS,publications,reference,ris,1,"TY  - JOUR
AB  - Low-carbon investments are necessary for driving the energy system transformation that is called for by both the Paris Agreement and Sustainable Development Goals. Improving understanding of the scale and nature of these investments under diverging technology and policy futures is therefore of great importance to decision makers. Here, using six global modelling frameworks, we show that the pronounced reallocation of the investment portfolio required to transform the energy system will not be initiated by the current suite of countries’ Nationally Determined Contributions. Charting a course toward ‘well below 2 °C’ instead sees low-carbon investments overtaking fossil investments globally by around 2025 or before and growing thereafter. Pursuing the 1.5 °C target demands a marked upscaling in low-carbon capital beyond that of a 2 °C-consistent future. Actions consistent with an energy transformation would increase the costs of achieving the goals of energy access and food security, but reduce the costs of achieving air-quality goals.
AU  - McCollum, David L.
AU  - Zhou, Wenji
AU  - Bertram, Christoph
AU  - de Boer, Harmen-Sytze
AU  - Bosetti, Valentina
AU  - Busch, Sebastian
AU  - Després, Jacques
AU  - Drouet, Laurent
AU  - Emmerling, Johannes
AU  - Fay, Marianne
AU  - Fricko, Oliver
AU  - Fujimori, Shinichiro
AU  - Gidden, Matthew
AU  - Harmsen, Mathijs
AU  - Huppmann, Daniel
AU  - Iyer, Gokul
AU  - Krey, Volker
AU  - Kriegler, Elmar
AU  - Nicolas, Claire
AU  - Pachauri, Shonali
AU  - Parkinson, Simon
AU  - Poblete-Cazenave, Miguel
AU  - Rafaj, Peter
AU  - Rao, Narasimha
AU  - Rozenberg, Julie
AU  - Schmitz, Andreas
AU  - Schoepp, Wolfgang
AU  - van Vuuren, Detlef
AU  - Riahi, Keywan
DA  - 2018/07/01
DO  - 10.1038/s41560-018-0179-z
L1  - https://doi.org/10.1038/s41560-018-0179-z
IS  - 7
PY  - 2018
SN  - 2058-7546
SP  - 589-599
ST  - Energy investment needs for fulfilling the Paris Agreement and achieving the Sustainable Development Goals
T2  - Nature Energy
TI  - Energy investment needs for fulfilling the Paris Agreement and achieving the Sustainable Development Goals
UR  - https://doi.org/10.1038/s41560-018-0179-z
VL  - 3
ID  - 3
ER  - 
"
CD-LINKS,diagnostics,source,name,1,N/A
CD-LINKS,diagnostics,source,link,1,N/A
CD-LINKS,models,preamble,,,CD-LINKS is a multi-model study that uses 11 national and 8 global models jointly.
CD-LINKS,models,model,name,1,AIM/CGE
CD-LINKS,models,model,version,1,2.1
CD-LINKS,models,model,name,2,GCAM-USA
CD-LINKS,models,model,version,2,CD-LINKS
CD-LINKS,models,model,name,3,IMAGE
CD-LINKS,models,model,version,3,3.0.1
CD-LINKS,models,model,name,4,MESSAGEix-GLOBIOM
CD-LINKS,models,model,version,4,1.0
CD-LINKS,models,model,name,5,POLES
CD-LINKS,models,model,version,5,CD-LINKS
CD-LINKS,models,model,name,6,REMIND-MAgPIE
CD-LINKS,models,model,version,6,1.7-3.0
CD-LINKS,models,model,name,7,WITCH-GLOBIOM
CD-LINKS,models,model,version,7,4.4
CD-LINKS,models,model,name,8,GEM-E3
CD-LINKS,models,model,version,8,
CD-LINKS,models,model,name,9,COFFEE
CD-LINKS,models,model,version,9,1.0
CD-LINKS,models,model,name,10,BLUES
CD-LINKS,models,model,version,10,
CD-LINKS,models,model,name,11,China-TIMES
CD-LINKS,models,model,version,11,
CD-LINKS,models,model,name,12,IPAC/AIM-technology
CD-LINKS,models,model,version,12,1.0
CD-LINKS,models,model,name,13,AIM-Enduse India
CD-LINKS,models,model,version,13,3.0
CD-LINKS,models,model,name,14,India MARKAL
CD-LINKS,models,model,version,14,
CD-LINKS,models,model,name,15,AIM-Enduse[Japan]
CD-LINKS,models,model,version,15,
CD-LINKS,models,model,name,16,DNE21+
CD-LINKS,models,model,version,16,V.14
CD-LINKS,models,model,name,17,PRIMES
CD-LINKS,models,model,version,17,1
CD-LINKS,models,model,name,18,Russia-TIMES
CD-LINKS,models,model,version,18,3.2
CD-LINKS,models,model,name,19,
CD-LINKS,models,model,version,19,
CD-LINKS,year,,,,2018
CD-LINKS,project,,,,CD-LINKS (Linking Climate and Development Policies – Leveraging International Networks and Knowledge Sharing)
CD-LINKS,keywords,keyword,,1,national
CD-LINKS,keywords,keyword,,2,Nationally 
CD-LINKS,keywords,keyword,,3,Sustainable Develpoment Goals
CD-LINKS,keywords,keyword,,4,co-benefits
CD-LINKS,keywords,keyword,,5,trade-offs
CD-LINKS,regional coverage,region,,1,World
CD-LINKS,regional coverage,region,,2,Asia
CD-LINKS,regional coverage,region,,3,Latin America
CD-LINKS,regional coverage,region,,4,Middle East and Africa
CD-LINKS,regional coverage,region,,5,OECD90+EU
CD-LINKS,regional coverage,region,,6,Reforming Economies
CD-LINKS,regional coverage,region,,7,"selected G20 countries (Brazil, China, EU, India, Japan, Russia, USA)"
CD-LINKS,time horizon,start,,,2010
CD-LINKS,time horizon,end,,,2100
