name,activity,description,time-duration,grouping,could,should,framing,scenario-development,decision,quantitative,qualitative,qualitative-to-quantitative-translation,integratable-with-empirical-data,creative,evidence-based,divergent,convergent
Cognitive Mapping,Technique,"Cognitive mapping is a causal mapping technique that is invoked to represent how an individual perceives a particular issue or system. A cognitive map can be seen as a visual representation a mental model about a particular issue or situation at a particular point of time. Cognitive mapping can be used (1) to elicit, represent, and sometimes compare, individual mental models (2) to support a group working on strategy development or analyse a complex issue (3) to inform quantitative model building (4) support the structural analysis of large map.<ul><li>Eden, C. 1988. “Cognitive mapping”. European Journal of Operational Research, no. 36: 1-13.</li></ul>",short,mindmapping,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,allow,
Participatory agent-based Modeling,Technique,"Agent-based Modelling (ABM) is one branch of computerized simulation modelling that shows particular promise as a tool for planning support. It can represent human behaviour by modelling bounded rationality, heterogeneity, interactions, and evolutionary learning. In agent-based modeling, a system is modeled as a collection of autonomous decision-making entities called agents. Each agent individually assesses its situation and makes decisions on the basis of a set of rules. Even a simple agent-based model can exhibit complex behavior patterns and provide valuable information about the dynamics of the real-world system that it emulates.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Bonabeau, E. 2002. Agent-based modeling: Methods and techniques for simulating human systems. Proceedings of the National Academy of Sciences 99, no. 3: 7280-7287. https://doi.org/10.1073/pnas.082080899.</li></ul>",medium,Gaming,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Gaming / Simulation and Game,Technique,"Simulation and Gaming is a forecasting and planning technique provide the opportunity to explore various options for dealing with situations that may come up in the future. The future is new territory for the simulator to explore now. The simulation itself does not provide guidelines for meeting that future. It does, however, allow the participants (in this case, pilots) to decide how to react to many what-ifs. Simulations and games are closely tied to computer modelling, software and IT-based visualizations. The technique can be used to build understanding and explore possibilities, often aimed at proposing decisions, action plans and roadmaps.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li><li>Goodwin, P. 2002. “Forecasting games: can game theory win?”. International Journal of Forecasting 18, no. 3: 369-374.</li></ul>",short,Gaming,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,allow,
Role playing,Technique,"A role-playing is a game in which players assume the roles of characters in a fictional setting. Players take responsibility for acting out these roles within a narrative, either through literal acting or through a process of structured decision-making of character development. Participants in role playing are often provided with detailed progiles of other participants and stakeholders involved in the acting. To unfold and span the space of possibilities, sometimes several participants play the responses of one role (individual or group).<ul><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li><li>Armstrong, J. S. 2002. “Assessing game theory, role playing, and unaided judgment”. International Journal of Forecasting 18, no. 3, 345-352.</li></ul>",short,Gaming,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Prediction Market,Technique,"Prediction Market (Prediction Marketplace) is a 'wisdom of crowds' type game in the future field. Prediction markets are futures markets in which prices are used to predict future events. Consider an all-or-nothing contract paying a dollar if a specified event occurs and nothing otherwise. Proponents of prediction markets have interpreted the price of such a contract as a “market probability;” that is, a market-generated likelihood that the event will occur. In a prediction market, payoffs are tied to the outcomes of future events. The design of how the payoff is linked to the future event can elicit the market’s expectations of a range of different parameters<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Wolfers and Zitzewitz 2004</li></ul>",short,Gaming,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,allow,
Science Fictioning,Technique,"Science Fictioning (SF) is a technique that deal with stories assuming that possible events which have not yet materialized have taken place, usually at some point in the future, and elaborates on the consequences of this. In this technique, a group of participants are asked to imagine fictional narratives and images of future developments and discuss the relevant drivers, impacts, and implications. Commercial SF (stories, movies, etc.) can be used as a source of inspiration by the particpants.<ul><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li></ul>",short,Gaming,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Robust Decisionmaking,Methodology,"Robust Decision Making (RDM) is a combination of scenario planning with powerful computing to support decision makers by helping to identify potential strategies that are robust to future unknowns, characterize the vulnerabilities of such strategies, and evaluate tradeoffs among alternatives. In this context, the vulnerabilities of a strategy are the combinations of uncertainties under which it performs poorly. Characterizing vulnerabilities allows for the iterative improvement of the strategy. In the RDM process, scenario discovery is used to uncover the combinations of uncertainties to which the strategy under study is vulnerable.<ul><li>Lempert, R. J. 2019. “Robust Decision Making (RDM).” In Decision Making under Deep Uncertainty, edited by Vincent A. W. J. Marchau, Warren E. Walker, Pieter J. T. M. Bloemen, and Steven W. Popper, 23–51. Cham: Springer International Publishing. https://doi.org/10.1007/978-3-030-05252-2_2.</li><li>Hall, J. W., Robert J. Lempert, K. K., Andrew H., Christophe M., and David J. M. 2012. “Robust Climate Policies Under Uncertainty: A Comparison of Robust Decision Making and Info-Gap Methods: A Comparison of Robust Decision Making and Info-Gap Methods.” Risk Analysis 32, no. 10: 1657–72. https://doi.org/10.1111/j.1539-6924.2012.01802.x.</li></ul>",long,n/a,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,n/a,n/a
Story and Simulation,Methodology,"Story-and-Simulation (SAS) is an open process in that stakeholders are involved in the development of the scenarios. It starts with the development of qualitative “storylines” by a group of stakeholders and experts. Then models are used to translate the storylines and produce quantitative scenarios. An iterative process harmonizes the qualitative and quantitative storylines.<ul><li>Alcamo. J. 2008. “Chapter Six The SAS Approach: Combining Qualitative and Quantitative Knowledge in Environmental Scenarios”. Developments in Integrated Environmental Assessment, no. 2: 123-150.</li></ul>",long,n/a,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,n/a,n/a
Backcasting / Normative Forecasting,Technique,"Backcasting is normative approach which works backwards from a particular desired endpoint (goal/vision) to the present in order to determine the feasibility of that future and what policy measures and actions would be required to reach that point. Backcasting is not concerned with predicting the future; rather, it is a strategic problem-solving approach, in the quest for the answer to how to reach specified outcomes in the future.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Popper, R. 2008. “Foresight Methodologies.” In The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing.</li><li>Dreborg, K. H. 1996. “Essence of Backcasting.” Futures 28, no. 9 (November 1, 1996): 813–28. https://doi.org/10.1016/S0016-3287(96)00044-4.</li></ul>",medium,n/a,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,n/a,n/a
Anticipatory Action Learning,Methodology,"Anticipatory Action Learning (AAL) is an interactive process that relies strongly on a central thread of conversation among a variety of participants, from multiple perspectives, concerned with the social unit or project. Basically, anticipatory action learning is action research modified for foresight. It integrates research/search with decision and action, and downgrades the prerogative of a research elite, empowering all participants. In anticipatory action learning, the future received—the official nomination—is questioned so that other futures can be created. Once an alternative future is created, the questioning process does not end. There is a reflexive process of questioning, creation and questioning. This type of practice adds an anticipatory dimension to action learning.<ul><li>Inayatullah, S. 2006. “Anticipatory Action Learning: Theory and Practice.” Futures 38: 656–66.</li><li>Stevenson, T. 2002. “Anticipatory Action Learning: Conversations about the Future.” Futures 34, no. 5: 417–25. https://doi.org/10.1016/S0016-3287(01)00068-4.</li></ul>",long,n/a,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Causal Layered Analysis,Methodology,"Causal layered analysis (CLA) is a critical futures method that  focuses less on the horizontal spatiality of futures - in contrast to techniques such as emerging issues analysis, scenarios and backcasting - and more on the vertical dimension of futures studies, of layers of analysis. CLA utility is not in predicting the future but in creating transformative spaces for the creation of alternative futures. Causal layered analysis consists of four levels: the litany, social causes, discourse/worldview and myth/metaphor. The challenge is to conduct research that moves up and down these layers of analysis and thus is inclusive of different ways of knowing.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Inayatullah, S. 2005. “Causal Layered Analysis - Deepening the Future.” In Questioning the Future: Methods and Tools for Organizational and Societal Transformation. Taipei: Tamkang University Press.</li></ul>",long,n/a,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Syncon (participatory),Technique,"The SYNCON wheel is an analytical tool with two main sections: the inner section and the outer section. The inner section represents the different ‘orientations’ or major elements of societies. These include social needs, technology, environment, government, production and others. The outer section of the wheel represents growing potentials of civilisation, such as biology, physics, information, political/economic theory, human nature, the arts, etc. People meet in groups to explore the future and then merge with other groups to build a composite future that integrates the different orientations. The Syncon process begins with small groups, merges to larger composite groups, then to one group of the whole.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",long,participatory setting,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Future search conference (participatory),Technique,"A Future Search Conference is a structured participatory process where groups of concerned and active individuals scan through turbulent environments for a desired outcome for themselves annd to generate a strategy for achieving it. to create future vision and strategy among a diverse group of people. The two- to three-day future search conference is facilitated by professionals and has five phases: 1) identification and discussion of global trends (desirable and probable); 2) analysis of relevant trends and how they will affect their organization; 3) projections of how the organization will evolve based on these trends; 4) future design of the organization; and 5) generation of strategies to achieve this new design.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",medium,participatory setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,
Charette (participatory),Technique,"Charrette is an intensive face-to-face process carefully designed to bring people from various segments of society into consensus and form an action plan within a short period of time. The pre-charrette planning breaks the main issue into its component parts. Then during the Charrette, these parts become groups that periodically report to the whole. Feedback from the whole on these group reports is then addressed in the next round of group discussions. This sequence is repeated until consensus is reached at the final deadline for a report.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",short,participatory setting,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,reduce
Focus group (participatory),Technique,"Focus groups are usually conducted by a researcher or trained group leader who guides the conversation among a small group of respondents.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",short,participatory setting,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,allow,reduce
Groupware (participatory),Technique,"Groupware is the use of computer software to connect groups of people to collaborate on the same project. It is also known as computer mediated communication. When groupware is used specifically as a participatory decision system, it is referred to as a ""group decision support system"" (GDSS).<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",throughout,participatory setting,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,allow,
Futures Polygon,Technique,"Future Polygon is a method to assess and evaluate the probability of future trends, issues and events. FP was initially developed as a complementary technique to the Future Wheel (FW) in order to evaluate the likelihood of forecasted impacts. The Futures Polygon's aim is to graphically depict the occurrence probability of the whole set of events obtained by other futures methods. While FP was initially designed to evaluate the probability of issuues/drivers idetified through Future Wheel, it can be integrated with different methods and techniques (Delphi, Focus group, Scenario techniques, etc.) to evaluate and visualize the probability of future developments.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",short,probability mapping,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Trend Impact Analysis,Technique,"Trend Impact analysis (TIA) is a tool to estimate probabilities of occurrence and impacts of future events that bases its forecast on the quantitative methods but tries to improve the basic forecast by using experts opinion about probable events in the future. The extrapolation of historical data is used to assume unprecedented future event.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",short,probability mapping,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,allow,
Morphological Analysis,Methodology,"Morphological analysis (MA) investigates the totality of relationships contained in multi-dimensional, non-quantifiable problem complexes. The approach begins by identifying and defining the parameters (or dimensions) of the problem complex to be investigated, and assigning each parameter a range of relevant “values” or conditions. Identifying the parameters (dimensions/drivers) and assigning values (conditions/states) can both be done through participatory processes together with stakeholders. A morphological box is constructed by setting the parameters against each other in an n-dimensional matrix. It is a fundamental scientific method of alternating between analysis and synthesis.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Zwicky, F. 1948. The Morphological Method of Analysis and Construction. California inst. of technol.</li><li>Ritchey, T. 2018 “General Morphological Analysis as a Basic Scientific Modelling Method.” Technological Forecasting and Social Change 126: 81–91. https://doi.org/10.1016/j.techfore.2017.05.027.</li></ul>",medium,scenario matrix,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,allow,reduce
Intuitive Logics,Methodology,"Intuitive Logics methos, also known as scenario matrix is based on two dimensions of uncertainty or polarities. The four cells represent alternatively the four combinations of the poles of the two uncertainties, each of which contains a kernel or logic of a plausible future. Each kernel is then elaborated into a complete story or other presentation, and the implications for the focal issue or decision are discussed together with experts and/or stakeholders.<ul><li>Schwartz, Peter. 1991. The Art of the Long View: Planning for the Future in an Uncertain World. Crown Business.</li><li>Van der Heijden, K., Bradfield, R., Burt, G., Cairns, G., and Wright. G. 2002. The Sixth Sense: Accelerating Organizational Learning with Scenarios. John Wiley & Sons.</li></ul>",short,scenario matrix,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,allow,reduce
Field Anomaly Relaxation,Methodology,"Field Anomaly Relaxtion (FAR) is a four-stage process; step 1 requires one to develop some kind of imaginative view of the future into which the decision must unfold, step 2 requires one to identify the critical uncertainties and their ranges of possibility, expressed in a matrix, step 3 eliminates the anomalies  and step 4 strings the surviving configurations together to form time lines. All steps can be executed in participatory processes with experts and/or stakeholders.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Rhyne, R. 1981. “Whole-Pattern Futures Projection, Using Field Anomaly Relaxation.” Technological Forecasting and Social Change 19, no. 4: 331–60.</li></ul>",medium,scenario matrix,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,n/a,n/a
Fuzzy Cognitive Mapping,Technique,"Fuzzy Cognitive Mapping (FCM) is a tool to represent mental models suggested by multiple participants in a workshop as causal relationships, with each causal link being weighted depending on the strength of causality. FCMs are directed graphs useful for exploring and eliciting causal relationships, used for modelling dynamic and complex systems which have many parameters and are difficult to model using a mathematical approach. In contrast to other cognitive mapping approaches, FCMs enable an analysis of the dynamic properties of the system they represent and the identification of possible future system states and system instabilities.<ul><li>Kosko, B. 1986. “Fuzzy Cognitive Maps.” International Journal of Man-Machine Studies 24, no. 1 (1986): 65–75.</li><li>Jetter, A J, and Kok. K. 2014. “Fuzzy Cognitive Maps for Futures Studies—A Methodological Assessment of Concepts and Methods.” Futures 61: 45–57.</li></ul>",short,system dynamics,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,reduce
Participatory Modeling,Technique,"Participatory modeling is a catch-all term for facilitated sessions in which the participants (help to) build a model. See participatory agent-based modeling, participatory system dynamics etc.<ul><li>Vennix, J. AM. 1999. “Group Model‐building: Tackling Messy Problems.” System Dynamics Review: The Journal of the System Dynamics Society 15, no. 4 (1999): 379–401.</li></ul>",short,system dynamics,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,reduce
Participatory Systems dynamics,Technique,"System dynamics (SD) is an approach to understanding the nonlinear behaviour of complex systems over time using stocks, flows, internal feedback loops, table functions and time delays. A System Dynamics application begins with the definition of a problem. It then draws in all major patterns of influence that together create the ""system"". Different values for variables and different policy structures may then be introduced to simulate how the system would respond to different circumstances or initiatives.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Stave, Krystyna. 2010. “Participatory System Dynamics Modeling for Sustainable Environmental Management: Observations from Four Cases.” Sustainability 2, no. 9: 2762–84.</li></ul>",short,system dynamics,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,,reduce
Participatory Bayesian network,Technique,"A BN consists of two key components: (i) an influence diagram that describes underlying relationships in a system and (ii) a set of conditional probability tables, which define the quantitative relationships between each variable and its parents. Together, these components decompose a complex causal chain into a series of local relationships.<ul><li>Pearl, J. 2001. “Bayesian Networks, Causal Inference and Knowledge Discovery.” UCLA Cognitive Systems Laboratory, Technical Report.</li><li>Castelletti, A., Soncini-Sessa, R. 2007. “Bayesian Networks and Participatory Modelling in Water Resource Management.” Environmental Modelling & Software 22, no. 8: 1075–88.</li></ul>",medium,system dynamics - probabilities,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,reduce
Science and Technology Roadmapping,Technique,"Roadmapping is a method which outlines the future of a field of technology, generating a timeline for development of various interrelated technologies and (sometimes) including factors like regulatory and market structures. It is a technique widely used by high-tech industries, where it serves both as a tool for communication, exchange, and development of shared visions, and as a way of communicating expectations about the future to other parties. Roadmaps provide essential understanding of proximity, direction and some degree of certainty in planning. It is a normative and goal oriented method, where attempts are made to achieve a desired future state of development.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li><li>Georghiou, L. 2008. The Handbook of Technology Foresight: Concepts and Practice. PRIME Series on Research and Innovation Policy. Edward Elgar Publishing, Incorporated. https://books.google.fi/books?id=3SxmAwAAQBAJ.</li></ul>",medium,timeline,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,,reduce
Heuristic Modeling,Technique,"Heuristic modeling consist of the use of (simplistic) models to better understand the problem, and to provoke dialogue. The core of the method is a simulation model – designed to be complementary to, and integrated with, a variety of other futures methods and to bridge between qualitative scenarios and quantitative modeling. The simplistic model component hepls to provoke discussion, pose questions, and implement a participatory process that is simple, straightforward, and with a fast learning curve.<ul><li>Glenn, J., & Gordon, T. 2009. Futures Research Methodology. Version 3.0. The Millennium Project, Washington DC.</li></ul>",medium,modeling & simulation,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,allow,
